filename,file,duration,sample_rate,channels,bitrate,file_size,efficient,primary_label
H21_20230510_051500.ogg,H21_20230510_051500,60.0,32000,1,72,466860,whtdov,thlsch3
H92_20230516_183000.ogg,H92_20230516_183000,60.0,32000,1,72,491965,roahaw,compau
H06_20230422_195500.ogg,H06_20230422_195500,60.0,32000,1,72,474773,21038,compot1
O201_20230522_191000.ogg,O201_20230522_191000,60.0,32000,1,72,492253,whtdov,compot1
O201_20230519_041500.ogg,O201_20230519_041500,60.0,32000,1,72,497865,solsan,compot1
H12_20230516_014500.ogg,H12_20230516_014500,60.0,32000,1,72,485832,roahaw,compot1
H92_20230516_230500.ogg,H92_20230516_230500,60.0,32000,1,72,469980,roahaw,thlsch3
H30_20230504_190500.ogg,H30_20230504_190500,60.0,32000,1,72,471918,roahaw,speowl1
H94_20230522_073500.ogg,H94_20230522_073500,60.0,32000,1,72,505810,thlsch3,rinkin1
H99_20230501_143500.ogg,H99_20230501_143500,60.0,32000,1,72,475441,grasal4,littin1
H88_20230501_130000.ogg,H88_20230501_130000,60.0,32000,1,72,478929,whtdov,bobfly1
H8749_20230425_023000.ogg,H8749_20230425_023000,60.0,32000,1,72,474791,whtdov,compot1
H63_20230429_050500.ogg,H63_20230429_050500,60.0,32000,1,72,492587,48124,speowl1
H71_20230517_190500.ogg,H71_20230517_190500,60.0,32000,1,72,487351,roahaw,compot1
H31_20230508_003500.ogg,H31_20230508_003500,60.0,32000,1,72,470391,speowl1,compau
H30_20230508_040000.ogg,H30_20230508_040000,60.0,32000,1,72,469127,speowl1,speowl1
H16_20230420_042500.ogg,H16_20230420_042500,60.0,32000,1,72,461385,blbgra1,thlsch3
H91_20230421_181000.ogg,H91_20230421_181000,60.0,32000,1,72,473325,whtdov,compot1
H88_20230517_165500.ogg,H88_20230517_165500,60.0,32000,1,72,493499,roahaw,compot1
H71_20230504_213000.ogg,H71_20230504_213000,60.0,32000,1,72,482500,speowl1,compau
H84_20230428_184000.ogg,H84_20230428_184000,60.0,32000,1,72,477338,whtdov,compau
H05_20230520_074000.ogg,H05_20230520_074000,60.0,32000,1,72,461884,21211,chbant1
H09_20230504_232000.ogg,H09_20230504_232000,60.0,32000,1,72,473579,speowl1,gohman1
H27_20230509_124000.ogg,H27_20230509_124000,60.0,32000,1,72,455094,whtdov,roahaw
H06_20230507_034500.ogg,H06_20230507_034500,60.0,32000,1,72,463926,blbgra1,speowl1
H18_20230430_233000.ogg,H18_20230430_233000,60.0,32000,1,72,466747,roahaw,compot1
H11_20230421_112000.ogg,H11_20230421_112000,60.0,32000,1,72,476894,roahaw,blbgra1
H29_20230514_015000.ogg,H29_20230514_015000,60.0,32000,1,72,471757,compau,speowl1
O203_20230519_201000.ogg,O203_20230519_201000,60.0,32000,1,72,490839,tropar,roahaw
H06_20230430_182500.ogg,H06_20230430_182500,60.0,32000,1,72,479257,wbwwre1,speowl1
H94_20230502_001000.ogg,H94_20230502_001000,60.0,32000,1,72,472210,speowl1,gohman1
H31_20230425_134000.ogg,H31_20230425_134000,60.0,32000,1,72,455228,strowl1,roahaw
H85_20230425_134500.ogg,H85_20230425_134500,60.0,32000,1,72,456463,roahaw,roahaw
H78_20230422_180500.ogg,H78_20230422_180500,60.0,32000,1,72,481167,whtdov,22976
H12_20230504_003500.ogg,H12_20230504_003500,60.0,32000,1,72,479328,roahaw,compot1
O203_20230510_003000.ogg,O203_20230510_003000,60.0,32000,1,72,481872,rutjac1,speowl1
H03_20230430_002500.ogg,H03_20230430_002500,60.0,32000,1,72,497726,speowl1,trsowl
